Promedio_Notas,Asistencia_Pct,Tareas_Entregadas_Pct,Nivel_Participacion,Faltas_Disciplinarias,Nivel_Riesgo
10.0,79.0,90.4,Media,0,Sin riesgo
10.0,100.0,82.0,Baja,2,Sin riesgo
9.6,80.0,,Alta,0,Sin riesgo
5.1,61.3,52.2,Media,0,Alto riesgo
10.0,94.3,,Alta,0,Sin riesgo
6.4,77.4,85.8,Baja,0,Medio riesgo
9.9,71.2,89.7,Media,1,Sin riesgo
4.8,65.0,68.9,Alta,0,Alto riesgo
150.0,86.6,81.3,Media,0,Sin riesgo
10.0,100.0,83.8,Alta,0,Sin riesgo
8.0,79.3,77.6,Baja,2,Sin riesgo
4.6,59.1,53.5,Media,2,Alto riesgo
8.3,68.3,83.2,Alta,0,Alto riesgo
7.7,78.2,74.0,Media,0,Medio riesgo
8.6,82.7,,Baja,0,Sin riesgo
10.0,100.0,100.0,Baja,1,Sin riesgo
8.9,84.8,81.1,Alta,0,Sin riesgo
9.5,81.9,68.2,Alta,0,Sin riesgo
,96.6,93.5,Media,0,Sin riesgo
7.7,77.4,69.6,Alta,0,Medio riesgo
6.6,75.2,71.7,Media,1,Medio riesgo
9.3,78.7,69.5,Baja,1,Sin riesgo
7.6,81.2,99.2,Baja,0,Medio riesgo
8.3,-25.0,100.0,Media,1,Sin riesgo
9.7,74.0,79.3,Desconocido_X99,1,Sin riesgo
8.5,69.6,71.1,Media,0,Alto riesgo
6.8,97.8,100.0,Alta,0,Medio riesgo
8.5,83.8,85.3,Media,0,Sin riesgo
7.7,80.1,81.2,Media,0,Medio riesgo
5.7,89.5,100.0,Media,1,Alto riesgo
5.9,67.1,74.4,Media,0,Alto riesgo
10.0,-25.0,90.6,Alta,0,Sin riesgo
7.2,-25.0,61.7,Media,0,Alto riesgo
10.0,99.1,100.0,Media,1,Sin riesgo
6.7,76.9,82.4,Media,1,Medio riesgo
9.1,70.2,69.4,Media,0,Sin riesgo
7.9,70.4,,Media,0,Medio riesgo
,73.2,80.4,Baja,0,Medio riesgo
10.0,82.3,84.8,Alta,0,Sin riesgo
9.8,97.6,98.7,Media,1,Sin riesgo
9.9,97.1,93.9,Media,2,Sin riesgo
5.8,90.9,100.0,Alta,1,Alto riesgo
8.8,57.0,56.5,Baja,0,Alto riesgo
8.6,88.9,75.9,Media,1,Sin riesgo
9.3,90.3,83.0,Alta,0,Sin riesgo
9.1,96.4,100.0,Media,0,Sin riesgo
8.5,92.6,94.6,Baja,0,Sin riesgo
5.7,63.8,56.9,Alta,4,Alto riesgo
9.0,88.9,81.8,Media,0,Sin riesgo
,81.7,73.9,Baja,0,Alto riesgo
6.0,64.3,90.1,Baja,1,Alto riesgo
9.1,98.2,96.8,Media,1,Sin riesgo
8.4,58.5,69.8,Alta,0,Alto riesgo
8.2,74.5,75.6,Baja,0,Sin riesgo
6.7,74.2,82.7,Baja,1,Medio riesgo
6.5,62.1,75.8,Alta,0,Alto riesgo
6.5,73.4,99.2,Baja,0,Medio riesgo
8.6,100.0,88.5,Alta,0,Sin riesgo
7.8,100.0,87.0,Desconocido_X99,1,Medio riesgo
9.2,97.3,,Media,1,Sin riesgo
7.5,76.8,90.3,Media,1,Medio riesgo
9.2,100.0,100.0,Media,0,Sin riesgo
5.3,60.6,49.7,Media,0,Alto riesgo
6.9,89.4,81.6,Alta,0,Medio riesgo
5.5,55.0,37.3,Baja,1,Alto riesgo
10.0,100.0,100.0,Alta,1,Sin riesgo
7.2,100.0,79.4,Media,0,Medio riesgo
9.8,93.6,76.8,Media,1,Sin riesgo
7.1,49.4,44.5,Alta,1,Alto riesgo
8.4,76.6,87.7,Alta,0,Sin riesgo
8.3,83.9,76.4,Baja,0,Sin riesgo
9.1,-25.0,100.0,Alta,1,Sin riesgo
6.4,69.9,60.0,Alta,1,Alto riesgo
10.0,95.0,97.8,Media,0,Sin riesgo
,54.7,57.4,Alta,1,Alto riesgo
7.7,68.6,55.6,Media,0,Alto riesgo
7.0,49.1,52.5,Baja,0,Alto riesgo
7.9,83.8,68.8,Media,0,Medio riesgo
9.9,90.1,88.8,Baja,1,Sin riesgo
7.4,68.8,70.3,Media,0,Alto riesgo
7.7,86.3,77.0,Media,0,Medio riesgo
4.8,75.3,90.4,Media,0,Alto riesgo
9.3,93.9,,Alta,0,Sin riesgo
150.0,100.0,100.0,Baja,0,Medio riesgo
4.9,49.4,49.9,Media,0,Alto riesgo
8.8,87.8,88.9,Media,1,Sin riesgo
2.4,49.0,54.8,Media,2,Alto riesgo
6.6,85.3,79.9,Baja,0,Medio riesgo
9.5,90.4,97.0,Baja,1,Sin riesgo
8.0,87.4,,Alta,0,Sin riesgo
10.0,93.6,88.6,Baja,1,Sin riesgo
8.8,79.5,91.5,Alta,0,Sin riesgo
8.9,80.9,67.4,Media,0,Sin riesgo
6.7,69.4,75.5,Alta,0,Alto riesgo
10.0,87.6,94.5,Baja,0,Sin riesgo
8.4,-25.0,82.5,Baja,1,Sin riesgo
6.1,73.3,57.2,Media,0,Medio riesgo
6.8,80.2,64.5,Alta,0,Medio riesgo
10.0,81.5,77.5,Media,0,Sin riesgo
7.3,73.5,75.7,Alta,0,Medio riesgo
6.8,79.7,80.0,Media,0,Medio riesgo
6.7,85.8,91.1,Alta,0,Medio riesgo
7.0,70.8,,Media,1,Medio riesgo
7.6,-25.0,78.9,Media,0,Medio riesgo
6.1,77.6,69.0,Media,0,Medio riesgo
8.6,81.7,93.1,Baja,0,Sin riesgo
4.8,40.9,31.6,Media,0,Alto riesgo
7.9,70.7,66.9,Alta,0,Medio riesgo
9.8,88.3,88.2,Media,0,Sin riesgo
9.5,88.4,76.9,Alta,0,Sin riesgo
5.7,72.2,91.6,Alta,0,Alto riesgo
7.8,85.5,87.8,Alta,1,Medio riesgo
7.1,79.8,,Baja,0,Medio riesgo
5.5,72.6,88.6,Media,0,Alto riesgo
,100.0,94.7,Media,2,Sin riesgo
9.5,70.3,83.8,Alta,2,Sin riesgo
7.2,77.6,78.2,Media,0,Medio riesgo
4.9,55.7,28.5,Alta,0,Alto riesgo
3.5,54.5,45.5,Media,0,Alto riesgo
5.2,65.3,56.0,Media,0,Alto riesgo
9.8,93.0,98.4,Media,0,Sin riesgo
6.3,68.6,52.8,Alta,0,Alto riesgo
9.1,80.9,72.8,Alta,0,Sin riesgo
6.8,81.5,87.4,Media,1,Medio riesgo
8.5,72.5,66.9,Media,2,Sin riesgo
6.7,85.4,85.9,Alta,0,Medio riesgo
7.5,99.9,100.0,Baja,0,Medio riesgo
8.3,76.8,89.4,Desconocido_X99,1,Sin riesgo
6.8,77.5,67.4,Media,0,Medio riesgo
10.0,85.5,90.4,Alta,0,Sin riesgo
5.8,72.4,67.0,Media,0,Alto riesgo
7.3,74.3,78.2,Media,1,Medio riesgo
150.0,69.1,65.9,Alta,0,Alto riesgo
7.3,64.7,73.5,Media,1,Alto riesgo
10.0,100.0,100.0,Alta,2,Sin riesgo
8.9,90.3,89.1,Media,0,Sin riesgo
6.9,76.5,83.0,Media,0,Medio riesgo
8.1,83.3,86.2,Baja,0,Sin riesgo
150.0,88.2,83.1,Alta,0,Sin riesgo
7.4,63.2,60.7,Media,0,Alto riesgo
10.0,93.8,76.8,Baja,1,Sin riesgo
,69.2,76.1,Baja,0,Alto riesgo
4.9,37.0,34.5,Media,1,Alto riesgo
6.7,61.4,76.5,Media,0,Alto riesgo
6.8,89.2,76.1,Alta,1,Medio riesgo
10.0,83.5,86.3,Alta,1,Sin riesgo
8.5,72.7,55.9,Alta,0,Sin riesgo
7.5,86.3,91.5,Media,2,Medio riesgo
9.4,66.7,36.3,Baja,2,Alto riesgo
3.6,53.4,46.3,Media,1,Alto riesgo
6.9,83.8,100.0,Media,1,Medio riesgo
7.2,71.2,72.8,Baja,0,Medio riesgo
150.0,68.0,65.1,Alta,1,Alto riesgo
5.6,68.9,62.1,Media,1,Alto riesgo
9.6,75.1,65.8,Alta,0,Sin riesgo
10.0,81.3,96.4,Media,0,Sin riesgo
8.1,78.6,74.0,Media,1,Sin riesgo
9.3,79.8,73.8,Alta,1,Sin riesgo
7.1,94.7,88.7,Alta,1,Medio riesgo
8.0,55.3,54.7,Baja,0,Alto riesgo
9.2,100.0,99.8,Baja,1,Sin riesgo
4.4,70.5,69.1,Alta,1,Alto riesgo
5.9,59.6,71.8,Media,1,Alto riesgo
10.0,100.0,91.4,Desconocido_X99,2,Sin riesgo
10.0,100.0,100.0,Media,0,Sin riesgo
8.2,81.9,71.8,Desconocido_X99,0,Sin riesgo
10.0,97.0,99.4,Alta,0,Sin riesgo
5.1,58.6,70.2,Media,1,Alto riesgo
10.0,100.0,100.0,Desconocido_X99,0,Sin riesgo
5.4,60.5,74.3,Media,2,Alto riesgo
6.3,72.5,86.0,Desconocido_X99,0,Medio riesgo
7.4,78.2,86.0,Media,1,Medio riesgo
6.1,82.1,,Media,0,Medio riesgo
5.3,63.4,55.7,Baja,0,Alto riesgo
,94.0,64.0,Media,1,Medio riesgo
150.0,77.5,90.7,Media,1,Medio riesgo
8.5,84.0,81.0,Media,2,Sin riesgo
7.5,83.8,72.8,Media,1,Medio riesgo
8.8,85.8,72.5,Media,0,Sin riesgo
9.6,87.6,87.3,Baja,1,Sin riesgo
6.5,57.7,53.3,Media,0,Alto riesgo
2.1,48.1,36.4,Alta,1,Alto riesgo
7.0,68.4,51.1,Alta,0,Alto riesgo
3.9,53.4,48.4,Media,1,Alto riesgo
7.0,92.6,98.6,Alta,0,Medio riesgo
10.0,95.9,100.0,Media,1,Sin riesgo
5.7,64.4,60.5,Alta,1,Alto riesgo
8.8,81.2,84.1,Baja,2,Sin riesgo
8.1,95.6,91.9,Baja,0,Sin riesgo
8.5,70.6,44.8,Alta,0,Sin riesgo
7.9,69.7,84.6,Media,1,Alto riesgo
10.0,100.0,85.3,Media,0,Sin riesgo
7.5,68.9,66.8,Media,0,Alto riesgo
9.6,85.6,48.0,Alta,1,Sin riesgo
7.4,75.8,76.2,Baja,0,Medio riesgo
6.1,62.3,56.0,Media,1,Alto riesgo
5.0,81.1,63.0,Alta,1,Alto riesgo
6.0,59.1,57.6,Baja,0,Alto riesgo
,54.1,56.0,Alta,0,Alto riesgo
9.9,69.9,77.1,Media,1,Alto riesgo
5.2,55.3,45.9,Alta,0,Alto riesgo
10.0,100.0,100.0,Media,0,Sin riesgo
8.5,100.0,100.0,Media,0,Sin riesgo
9.5,78.9,80.8,Alta,2,Sin riesgo
10.0,94.1,96.4,Baja,0,Sin riesgo
10.0,100.0,91.3,Media,0,Sin riesgo
150.0,100.0,100.0,Alta,0,Sin riesgo
8.9,77.4,82.2,Desconocido_X99,0,Sin riesgo
10.0,94.7,99.1,Baja,0,Sin riesgo
9.7,73.1,79.0,Baja,1,Sin riesgo
7.7,75.7,73.9,Media,1,Medio riesgo
7.4,82.5,83.2,Alta,1,Medio riesgo
10.0,79.4,74.4,Media,0,Sin riesgo
,88.2,83.9,Baja,0,Sin riesgo
5.4,68.5,57.9,Baja,1,Alto riesgo
6.9,56.4,61.5,Desconocido_X99,1,Alto riesgo
5.4,60.8,52.2,Alta,1,Alto riesgo
6.6,73.7,69.5,Media,0,Medio riesgo
8.5,85.1,96.7,Media,1,Sin riesgo
7.9,74.3,76.2,Media,0,Medio riesgo
9.4,95.7,90.4,Desconocido_X99,1,Sin riesgo
7.6,80.3,94.6,Media,1,Medio riesgo
8.1,-25.0,67.8,Media,0,Alto riesgo
7.8,-25.0,96.0,Baja,1,Medio riesgo
,77.9,86.4,Alta,0,Medio riesgo
150.0,87.0,81.5,Media,0,Medio riesgo
10.0,88.2,77.9,Baja,0,Sin riesgo
9.0,90.2,,Alta,1,Sin riesgo
7.6,81.0,83.6,Media,0,Medio riesgo
9.7,96.2,100.0,Baja,0,Sin riesgo
9.1,91.3,87.7,Baja,1,Sin riesgo
9.7,100.0,100.0,Media,2,Sin riesgo
5.6,64.4,45.6,Baja,1,Alto riesgo
7.3,70.5,79.7,Media,0,Medio riesgo
4.1,47.0,44.5,Alta,0,Alto riesgo
7.2,68.7,73.7,Media,1,Alto riesgo
9.0,-25.0,99.4,Media,0,Sin riesgo
5.9,55.1,51.4,Media,0,Alto riesgo
7.2,75.5,72.4,Media,0,Medio riesgo
6.5,61.2,55.6,Media,0,Alto riesgo
10.0,100.0,,Alta,1,Sin riesgo
7.8,73.1,61.3,Alta,0,Medio riesgo
2.0,54.3,30.5,Media,1,Alto riesgo
9.9,71.9,72.2,Baja,0,Sin riesgo
10.0,92.3,96.5,Media,1,Sin riesgo
9.1,86.2,76.3,Media,1,Sin riesgo
9.1,89.7,93.1,Baja,0,Sin riesgo
9.4,100.0,100.0,Media,0,Sin riesgo
9.8,91.8,94.9,Media,0,Sin riesgo
6.0,86.1,93.2,Alta,1,Medio riesgo
8.7,77.8,72.0,Baja,0,Sin riesgo
8.7,77.3,87.9,Media,1,Sin riesgo
10.0,80.7,86.5,Alta,0,Sin riesgo
9.3,91.7,85.4,Media,1,Sin riesgo
9.7,90.0,98.4,Media,0,Sin riesgo
150.0,83.5,79.6,Media,2,Sin riesgo
5.6,71.2,80.7,Media,0,Alto riesgo
7.3,73.8,62.3,Baja,1,Medio riesgo
9.6,74.1,79.7,Alta,2,Sin riesgo
8.7,74.9,82.8,Media,1,Sin riesgo
9.3,81.3,84.2,Media,2,Sin riesgo
7.2,64.0,62.4,Baja,0,Alto riesgo
8.2,83.6,,Media,1,Sin riesgo
7.7,77.8,70.2,Media,2,Medio riesgo
10.0,84.7,90.0,Alta,1,Sin riesgo
8.8,-25.0,67.7,Media,1,Sin riesgo
1.9,68.8,69.2,Media,0,Alto riesgo
5.8,82.2,60.2,Media,0,Alto riesgo
10.0,75.7,76.0,Media,0,Sin riesgo
6.7,73.0,70.9,Baja,1,Medio riesgo
3.8,44.9,44.0,Media,0,Alto riesgo
10.0,94.1,86.2,Media,1,Sin riesgo
7.4,71.7,63.0,Baja,0,Medio riesgo
4.1,71.1,,Media,0,Alto riesgo
8.5,73.3,58.3,Baja,0,Sin riesgo
9.7,100.0,71.6,Alta,1,Sin riesgo
6.0,68.4,72.0,Desconocido_X99,1,Alto riesgo
8.5,79.8,100.0,Media,0,Sin riesgo
8.4,83.8,80.1,Baja,0,Sin riesgo
10.0,95.7,,Alta,0,Sin riesgo
10.0,92.6,100.0,Alta,1,Sin riesgo
6.6,72.3,70.2,Media,0,Medio riesgo
10.0,59.4,63.1,Media,0,Alto riesgo
8.2,97.3,100.0,Alta,2,Sin riesgo
10.0,100.0,,Media,2,Sin riesgo
9.3,-25.0,74.7,Alta,0,Sin riesgo
8.7,84.0,72.4,Alta,1,Sin riesgo
8.8,77.7,76.4,Baja,0,Sin riesgo
10.0,-25.0,97.6,Alta,1,Sin riesgo
7.4,75.3,80.1,Baja,1,Medio riesgo
6.8,55.5,53.8,Alta,0,Alto riesgo
7.7,86.8,71.0,Alta,0,Medio riesgo
,100.0,93.4,Media,0,Sin riesgo
7.6,62.9,67.3,Baja,0,Alto riesgo
7.7,73.5,79.3,Alta,0,Medio riesgo
5.6,78.3,57.0,Media,0,Alto riesgo
9.2,80.3,82.9,Alta,0,Sin riesgo
7.4,50.2,45.0,Media,1,Alto riesgo
7.8,79.4,90.1,Alta,1,Medio riesgo
4.9,66.2,50.6,Media,2,Alto riesgo
10.0,100.0,94.5,Media,1,Sin riesgo
4.7,79.9,58.6,Media,0,Alto riesgo
8.4,52.9,55.7,Media,1,Alto riesgo
6.9,-25.0,70.8,Alta,0,Medio riesgo
3.0,40.4,53.2,Alta,0,Alto riesgo
3.7,58.7,61.1,Media,1,Alto riesgo
8.4,80.4,68.9,Baja,2,Sin riesgo
8.5,70.1,76.1,Baja,1,Sin riesgo
8.7,95.6,100.0,Media,1,Sin riesgo
150.0,64.2,75.3,Baja,0,Alto riesgo
10.0,100.0,94.4,Media,0,Sin riesgo
5.3,65.2,62.7,Desconocido_X99,1,Alto riesgo
10.0,98.1,100.0,Media,0,Sin riesgo
150.0,64.7,61.9,Alta,0,Alto riesgo
7.5,74.1,70.0,Alta,0,Medio riesgo
6.6,70.6,68.7,Alta,0,Medio riesgo
,76.2,89.1,Baja,0,Sin riesgo
,98.6,100.0,Media,0,Sin riesgo
9.9,86.3,98.6,Media,1,Sin riesgo
,68.5,54.4,Media,0,Alto riesgo
8.6,84.5,88.4,Media,0,Sin riesgo
10.0,97.9,100.0,Alta,2,Sin riesgo
8.2,75.0,71.2,Alta,1,Sin riesgo
8.0,89.6,81.5,Alta,1,Medio riesgo
7.6,72.5,69.0,Baja,1,Medio riesgo
8.5,100.0,100.0,Baja,0,Sin riesgo
6.4,78.1,74.8,Baja,0,Medio riesgo
7.6,73.9,88.1,Baja,1,Medio riesgo
7.1,56.9,36.6,Alta,0,Alto riesgo
9.9,88.0,100.0,Baja,0,Sin riesgo
10.0,100.0,100.0,Media,0,Sin riesgo
7.3,83.3,,Media,0,Medio riesgo
10.0,100.0,86.9,Media,2,Sin riesgo
7.7,100.0,99.9,Media,2,Medio riesgo
7.0,68.2,61.7,Alta,0,Alto riesgo
7.7,100.0,94.2,Alta,2,Medio riesgo
4.5,65.8,51.1,Alta,1,Alto riesgo
9.1,96.6,100.0,Media,0,Sin riesgo
4.5,61.2,49.3,Media,1,Alto riesgo
8.1,87.8,76.8,Media,1,Sin riesgo
9.8,97.6,100.0,Media,0,Sin riesgo
9.0,76.7,87.6,Media,0,Sin riesgo
8.0,78.4,76.2,Alta,0,Sin riesgo
5.7,77.3,84.9,Media,0,Alto riesgo
6.4,91.3,100.0,Media,0,Medio riesgo
8.5,99.5,99.4,Media,1,Sin riesgo
10.0,100.0,100.0,Media,1,Sin riesgo
9.6,100.0,100.0,Alta,0,Sin riesgo
8.9,90.8,96.0,Alta,1,Sin riesgo
10.0,90.4,81.6,Media,0,Sin riesgo
,62.1,61.1,Media,2,Alto riesgo
10.0,95.4,88.3,Alta,1,Sin riesgo
5.6,65.8,61.4,Media,0,Alto riesgo
9.1,70.2,74.9,Alta,0,Sin riesgo
8.7,71.9,73.9,Alta,0,Sin riesgo
150.0,100.0,91.9,Media,0,Sin riesgo
6.3,76.1,62.6,Media,1,Medio riesgo
4.0,65.6,64.5,Baja,0,Alto riesgo
6.5,67.5,59.1,Baja,0,Alto riesgo
,91.3,95.4,Alta,0,Sin riesgo
8.5,75.5,78.3,Media,1,Sin riesgo
6.4,58.6,68.6,Media,0,Alto riesgo
7.9,71.2,75.3,Baja,0,Medio riesgo
4.6,62.7,55.1,Alta,0,Alto riesgo
5.6,53.7,58.3,Media,1,Alto riesgo
,80.0,79.1,Alta,1,Sin riesgo
8.7,76.5,61.7,Media,0,Sin riesgo
10.0,88.0,86.7,Media,0,Sin riesgo
8.1,-25.0,81.3,Alta,1,Sin riesgo
2.6,65.6,56.5,Media,0,Alto riesgo
10.0,96.4,100.0,Alta,1,Sin riesgo
8.9,80.0,78.3,Media,2,Sin riesgo
10.0,90.5,94.1,Baja,0,Sin riesgo
9.4,79.0,72.3,Desconocido_X99,1,Sin riesgo
9.9,98.1,99.0,Media,0,Sin riesgo
9.2,79.9,82.9,Alta,0,Sin riesgo
8.9,88.7,81.9,Media,1,Sin riesgo
150.0,77.9,73.3,Media,1,Medio riesgo
5.9,74.9,86.3,Alta,0,Alto riesgo
10.0,100.0,95.2,Desconocido_X99,0,Sin riesgo
8.5,75.4,90.6,Media,0,Sin riesgo
3.7,-25.0,44.1,Media,2,Alto riesgo
6.7,66.6,73.6,Alta,1,Alto riesgo
6.3,81.3,80.4,Alta,1,Medio riesgo
8.8,-25.0,94.8,Media,2,Alto riesgo
9.9,94.9,100.0,Media,1,Sin riesgo
6.7,84.3,89.8,Media,0,Medio riesgo
10.0,-25.0,100.0,Media,0,Sin riesgo
2.6,55.6,59.9,Alta,1,Alto riesgo
7.7,100.0,93.1,Alta,0,Medio riesgo
10.0,100.0,100.0,Baja,0,Sin riesgo
9.7,86.2,80.6,Media,0,Sin riesgo
,100.0,100.0,Media,3,Sin riesgo
7.8,63.4,61.8,Alta,0,Alto riesgo
8.8,98.0,100.0,Baja,1,Sin riesgo
7.2,80.1,92.8,Alta,0,Medio riesgo
9.1,65.9,59.0,Media,0,Alto riesgo
7.0,91.5,79.8,Alta,1,Medio riesgo
10.0,100.0,93.9,Media,2,Sin riesgo
10.0,75.7,70.2,Alta,0,Sin riesgo
8.1,76.8,79.0,Media,0,Sin riesgo
9.9,78.6,71.7,Alta,2,Sin riesgo
9.2,80.6,74.8,Media,0,Sin riesgo
8.8,86.3,96.1,Media,1,Sin riesgo
9.0,78.3,64.4,Alta,1,Sin riesgo
9.9,100.0,100.0,Media,0,Sin riesgo
5.2,63.5,64.6,Media,0,Alto riesgo
5.8,73.2,63.3,Media,1,Alto riesgo
7.2,86.9,80.9,Baja,0,Medio riesgo
6.5,59.2,,Alta,0,Alto riesgo
10.0,94.7,88.9,Baja,0,Sin riesgo
150.0,65.6,67.3,Media,0,Alto riesgo
10.0,100.0,100.0,Alta,1,Sin riesgo
4.3,49.2,23.3,Media,0,Alto riesgo
10.0,100.0,96.0,Alta,0,Sin riesgo
5.2,86.4,81.4,Media,0,Alto riesgo
8.2,86.6,,Alta,2,Sin riesgo
10.0,80.2,83.2,Alta,1,Sin riesgo
9.1,94.4,91.5,Media,1,Sin riesgo
7.8,69.8,73.3,Media,0,Alto riesgo
6.3,97.7,79.1,Baja,1,Medio riesgo
4.8,63.9,75.6,Media,0,Alto riesgo
7.4,89.3,100.0,Baja,1,Medio riesgo
7.1,89.5,84.0,Media,1,Medio riesgo
7.3,95.3,88.9,Alta,2,Medio riesgo
5.5,50.9,70.6,Media,0,Alto riesgo
4.7,67.7,76.7,Media,0,Alto riesgo
150.0,100.0,100.0,Alta,1,Sin riesgo
8.3,74.7,68.4,Media,1,Sin riesgo
5.4,40.8,45.9,Media,0,Alto riesgo
,61.5,62.4,Media,0,Alto riesgo
7.9,81.7,98.6,Media,1,Medio riesgo
7.4,94.1,93.9,Media,0,Medio riesgo
8.1,72.4,72.6,Media,1,Sin riesgo
8.4,85.0,79.8,Desconocido_X99,0,Sin riesgo
9.9,82.8,75.8,Media,2,Sin riesgo
8.7,77.9,80.2,Desconocido_X99,0,Sin riesgo
150.0,51.7,54.1,Baja,0,Alto riesgo
5.9,70.4,98.9,Alta,0,Alto riesgo
4.8,73.1,61.1,Baja,0,Alto riesgo
5.4,70.2,68.5,Baja,0,Alto riesgo
,86.1,90.3,Alta,0,Medio riesgo
6.1,78.7,83.4,Alta,1,Medio riesgo
10.0,97.0,100.0,Media,1,Sin riesgo
6.5,98.8,99.5,Desconocido_X99,0,Medio riesgo
6.6,64.9,58.0,Alta,1,Alto riesgo
6.4,68.8,77.8,Media,0,Alto riesgo
10.0,100.0,100.0,Alta,1,Sin riesgo
10.0,92.2,86.8,Baja,0,Sin riesgo
9.5,69.6,74.1,Baja,0,Alto riesgo
8.2,77.9,56.8,Baja,0,Sin riesgo
7.7,61.7,55.3,Media,0,Alto riesgo
8.1,89.8,98.6,Media,0,Sin riesgo
9.0,89.1,98.1,Alta,0,Sin riesgo
9.6,100.0,88.7,Baja,0,Sin riesgo
7.8,-25.0,85.1,Media,1,Medio riesgo
8.0,80.0,70.7,Baja,1,Sin riesgo
8.1,77.4,74.5,Alta,0,Sin riesgo
6.8,87.1,90.2,Baja,0,Medio riesgo
7.9,90.4,83.2,Baja,2,Medio riesgo
5.7,78.1,66.4,Media,1,Alto riesgo
7.6,94.5,88.1,Media,0,Medio riesgo
5.9,59.3,62.7,Alta,0,Alto riesgo
6.2,66.5,61.1,Media,1,Alto riesgo
4.7,53.1,56.8,Alta,1,Alto riesgo
6.4,86.9,82.0,Desconocido_X99,0,Medio riesgo
10.0,92.9,69.9,Media,0,Sin riesgo
7.7,84.2,81.1,Baja,0,Medio riesgo
4.8,36.1,41.8,Media,0,Alto riesgo
9.6,96.2,81.4,Alta,0,Sin riesgo
3.5,42.5,32.4,Media,1,Alto riesgo
10.0,98.3,100.0,Baja,2,Sin riesgo
10.0,95.1,92.3,Media,0,Sin riesgo
7.9,60.1,67.9,Baja,0,Alto riesgo
,90.7,73.5,Media,0,Alto riesgo
150.0,55.9,55.0,Media,0,Alto riesgo
10.0,-25.0,98.6,Media,0,Sin riesgo
10.0,91.6,94.2,Alta,0,Sin riesgo
10.0,100.0,100.0,Media,1,Sin riesgo
6.2,70.7,66.3,Media,0,Medio riesgo
9.3,74.4,91.3,Media,1,Sin riesgo
10.0,100.0,100.0,Baja,0,Sin riesgo
9.8,95.8,82.3,Media,0,Sin riesgo
9.9,90.6,88.8,Media,1,Sin riesgo
10.0,95.2,85.3,Alta,0,Sin riesgo
6.4,71.8,54.6,Baja,0,Medio riesgo
9.6,100.0,100.0,Alta,1,Sin riesgo
6.9,95.9,100.0,Alta,1,Medio riesgo
9.0,73.3,88.8,Alta,1,Sin riesgo
7.7,80.3,75.0,Media,1,Medio riesgo
150.0,74.6,78.0,Media,0,Medio riesgo
6.8,73.2,89.5,Media,0,Medio riesgo
7.4,79.3,72.0,Media,0,Medio riesgo
,67.4,71.5,Alta,0,Alto riesgo
9.6,100.0,100.0,Media,0,Sin riesgo
7.3,48.1,51.2,Media,0,Alto riesgo
9.7,100.0,100.0,Media,0,Sin riesgo
7.8,71.6,67.6,Media,1,Medio riesgo
7.6,68.4,56.3,Media,0,Alto riesgo
5.4,60.9,56.2,Media,0,Alto riesgo
7.0,74.7,58.4,Alta,0,Medio riesgo
7.2,-25.0,79.9,Media,1,Medio riesgo
,87.5,90.2,Baja,4,Medio riesgo
10.0,86.1,92.3,Desconocido_X99,1,Sin riesgo
9.3,100.0,96.8,Media,0,Sin riesgo
4.6,72.3,74.4,Desconocido_X99,0,Alto riesgo
9.1,75.1,64.9,Baja,0,Sin riesgo
8.9,90.6,90.2,Desconocido_X99,0,Sin riesgo
7.0,97.2,100.0,Media,0,Medio riesgo
6.4,75.9,75.2,Alta,1,Medio riesgo
5.5,42.9,,Media,0,Alto riesgo
6.4,85.5,78.3,Media,0,Medio riesgo
2.6,61.9,59.3,Baja,0,Alto riesgo
8.5,87.4,80.9,Alta,0,Sin riesgo
10.0,65.0,66.5,Desconocido_X99,0,Alto riesgo
10.0,100.0,82.8,Baja,0,Sin riesgo
,59.6,67.0,Alta,0,Alto riesgo
7.9,90.0,96.6,Media,1,Medio riesgo
9.1,64.4,64.1,Media,0,Alto riesgo
7.2,-25.0,77.7,Alta,0,Alto riesgo
7.9,80.9,83.0,Media,0,Medio riesgo
10.0,90.0,100.0,Desconocido_X99,0,Sin riesgo
9.6,87.3,97.1,Media,0,Sin riesgo
10.0,71.6,83.5,Media,0,Sin riesgo
8.9,86.2,,Baja,0,Sin riesgo
7.3,56.3,52.8,Media,1,Alto riesgo
6.8,85.2,79.7,Alta,0,Medio riesgo
8.2,79.2,52.3,Media,0,Sin riesgo
7.7,100.0,100.0,Alta,1,Medio riesgo
5.2,83.6,80.8,Desconocido_X99,0,Alto riesgo
9.5,100.0,94.2,Alta,0,Sin riesgo
7.3,61.2,73.0,Media,0,Alto riesgo
8.2,-25.0,67.3,Baja,1,Alto riesgo
7.1,68.0,75.2,Baja,0,Alto riesgo
,69.6,82.2,Media,0,Alto riesgo
10.0,-25.0,88.7,Media,1,Sin riesgo
4.3,65.5,80.9,Baja,1,Alto riesgo
150.0,83.6,91.7,Baja,2,Sin riesgo
7.7,88.5,80.8,Media,0,Medio riesgo
10.0,100.0,100.0,Media,0,Sin riesgo
6.9,70.8,79.3,Baja,0,Medio riesgo
8.6,79.1,77.3,Alta,0,Sin riesgo
9.5,100.0,100.0,Baja,1,Sin riesgo
5.6,69.5,77.7,Alta,0,Alto riesgo
6.8,67.5,70.1,Media,0,Alto riesgo
